2018-19 Advanced Placement Participation - All Subjects - All Students,,,,,,,,
District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Freetown-Lakeville,06650000,     191,     336,      90,      66,      27,       7,       1
Frontier,06700000,     116,     181,      68,      31,      17,       0,       0
Gardner,01030000,     114,     191,      66,      25,      18,       4,       1
Gateway,06720000,      36,      71,      14,      13,       5,       4,       0
Georgetown,01050000,      56,      87,      32,      17,       7,       0,       0
Gill-Montague,06740000,       2,,,,,,
Gloucester,01070000,      96,     167,      49,      27,      16,       4,       0
Grafton,01100000,     167,     302,      70,      64,      28,       5,       0
Granby,01110000,      51,      77,      31,      16,       3,       0,       1
Greater Fall River Regional Vocational Technical,08210000,      57,      70,      48,       6,       2,       1,       0
Greater Lawrence Regional Vocational Technical,08230000,      13,      14,      12,       1,       0,       0,       0
Greater Lowell Regional Vocational Technical,08280000,     140,     166,     115,      24,       1,       0,       0
Greater New Bedford Regional Vocational Technical,08250000,      92,     111,      75,      15,       2,       0,       0
Greenfield,01140000,      60,     122,      19,      24,      13,       4,       0
Greenfield Commonwealth Virtual District,39010000,       6,,,,,,
Groton-Dunstable,06730000,     209,     362,      96,      81,      25,       6,       1
Hadley,01170000,      39,      66,      21,      10,       7,       1,       0
Hamilton-Wenham,06750000,     176,     370,      77,      46,      30,      12,      11
Hampden Charter School of Science East (District),04990000,      85,     136,      47,      25,      13,       0,       0
Hampden-Wilbraham,06800000,     191,     292,     104,      73,      14,       0,       0
Hampshire,06830000,      96,     166,      43,      41,       7,       5,       0
Hanover,01220000,     294,     508,     148,      95,      39,       7,       5
Harvard,01250000,     140,     288,      66,      32,      24,       8,      10
Hatfield,01270000,      24,      34,      14,      10,       0,       0,       0
Haverhill,01280000,     284,     481,     157,      76,      36,      11,       4
Hingham,01310000,     252,     467,     120,      74,      38,      15,       5
Holbrook,01330000,      29,      49,      13,      12,       4,       0,       0
Holliston,01360000,     225,     368,     127,      63,      28,       6,       1
Holyoke,01370000,     163,     252,     100,      43,      14,       6,       0
Hopedale,01380000,      86,     119,      62,      16,       7,       1,       0
Hopkinton,01390000,     465,"   1,068",     178,     100,      92,      68,      27
Hudson,01410000,     194,     338,      96,      59,      34,       4,       1
Hull,01420000,      52,     111,      20,      13,      12,       6,       1
Innovation Academy Charter (District),04350000,       6,,,,,,
Ipswich,01440000,     108,     235,      39,      26,      29,      13,       1
KIPP Academy Lynn Charter (District),04290000,     195,     330,     104,      52,      34,       5,       0
King Philip,06900000,     380,     790,     145,     121,      67,      34,      13
Lawrence,01490000,     234,     330,     169,      37,      25,       3,       0
Lee,01500000,      26,      44,      14,       7,       4,       1,       0
Leicester,01510000,      87,     114,      62,      23,       2,       0,       0
Lenox,01520000,      50,      82,      28,      13,       8,       1,       0
Leominster,01530000,     167,     412,      56,      43,      29,      22,      17
Lexington,01550000,     895,"   1,825",     415,     229,     121,      79,      51
Lincoln-Sudbury,06950000,     234,     364,     136,      68,      28,       2,       0
Littleton,01580000,     100,     206,      42,      29,      14,      11,       4
Longmeadow,01590000,     239,     522,     101,      63,      33,      27,      15
Lowell,01600000,     343,     624,     192,      75,      40,      23,      13
Ludlow,01610000,     141,     283,      59,      42,      27,       6,       7
Lunenburg,01620000,      99,     189,      35,      45,      13,       5,       1
Lynn,01630000,     436,     774,     226,     116,      63,      28,       3
Lynnfield,01640000,     188,     448,      60,      53,      37,      22,      16
MATCH Charter Public School (District),04690000,      86,     136,      59,      12,       9,       4,       2
Ma Academy for Math and Science,04680000,      54,     130,      11,      20,      16,       6,       1
Malden,01650000,     372,     750,     174,      89,      60,      37,      12
Manchester Essex Regional,06980000,     156,     351,      48,      48,      39,      15,       6
Mansfield,01670000,     311,     573,     143,     103,      42,      19,       4
Marblehead,01680000,     327,     645,     134,     112,      50,      20,      11
Marlborough,01700000,     240,     516,      87,      80,      40,      20,      13
Marshfield,01710000,     215,     423,      91,      66,      39,      12,       7
Martha's Vineyard,07000000,     157,     313,      66,      54,      21,       7,       9
Masconomet,07050000,     186,     329,      92,      58,      27,       5,       4
Mashpee,01720000,     103,     188,      53,      21,      24,       4,       1
Maynard,01740000,     102,     173,      44,      45,      13,       0,       0
Medfield,01750000,     249,     466,     121,      73,      29,      18,       8
Medford,01760000,     193,     341,     104,      55,      19,       8,       7
Medway,01770000,     264,     590,     118,      57,      39,      21,      29
Melrose,01780000,     353,     795,     131,      85,      72,      49,      16
Mendon-Upton,07100000,     180,     364,      64,      58,      48,      10,       0
Methuen,01810000,     307,     461,     196,      77,      26,       7,       1
Middleborough,01820000,     170,     255,     105,      46,      18,       1,       0
Milford,01850000,     315,     504,     181,      87,      40,       6,       1
Millbury,01860000,      84,     160,      35,      27,      17,       5,       0
Millis,01870000,     112,     195,      53,      41,      12,       6,       0
Milton,01890000,     341,     729,     133,      85,      74,      41,       8
Minuteman Regional Vocational Technical,08300000,      22,      25,      20,       1,       1,       0,       0
Mohawk Trail,07170000,      47,      61,      37,       6,       4,       0,       0
Monomoy Regional School District,07120000,     107,     219,      43,      30,      22,      11,       1
Monson,01910000,      77,     106,      61,       5,       9,       2,       0
Montachusett Regional Vocational Technical,08320000,     112,     147,      77,      35,       0,       0,       0
Mount Greylock,07150000,     147,     304,      51,      51,      33,       9,       3
Nantucket,01970000,     119,     193,      63,      40,      14,       2,       0
Narragansett,07200000,     106,     173,      68,      20,       9,       7,       2
Nashoba,07250000,     278,     554,     136,      60,      44,      27,      11
Nashoba Valley Regional Vocational Technical,08520000,      84,     130,      57,      13,      10,       3,       1
Natick,01980000,     530,     953,     283,     128,      76,      34,       9
Nauset,06600000,     283,     555,     128,      79,      47,      19,      10
Needham,01990000,     457,     892,     187,     156,      71,      35,       8
New Bedford,02010000,     280,     532,     141,      59,      51,      25,       4
Newburyport,02040000,     174,     342,      71,      56,      34,       9,       4
Newton,02070000,"   1,072","   2,135",     454,     318,     183,      92,      25
Norfolk County Agricultural,09150000,       9,,,,,,
North Adams,02090000,     161,     262,      94,      45,      14,       5,       3
North Andover,02110000,     319,     560,     131,     140,      44,       3,       1
North Attleborough,02120000,     274,     474,     149,      77,      28,      13,       7
North Brookfield,02150000,      29,      46,      13,      15,       1,       0,       0
North Middlesex,07350000,     221,     333,     130,      72,      17,       2,       0
North Reading,02170000,     219,     412,      92,      83,      25,      16,       3
Northampton,02100000,     200,     471,      59,      56,      51,      24,      10
Northampton-Smith Vocational Agricultural,04060000,      11,      11,      11,       0,       0,       0,       0
Northboro-Southboro,07300000,     406,     799,     178,     129,      57,      24,      18
Northbridge,02140000,     136,     216,      69,      55,      11,       1,       0
Northeast Metropolitan Regional Vocational Technical,08530000,      97,     132,      66,      27,       4,       0,       0
Northern Berkshire Regional Vocational Technical,08510000,      30,      44,      17,      12,       1,       0,       0
Norton,02180000,     194,     343,      88,      73,      26,       5,       2
Norwell,02190000,     293,     486,     170,      70,      40,       9,       4
Norwood,02200000,     145,     206,      96,      39,       8,       2,       0
Old Colony Regional Vocational Technical,08550000,       5,,,,,,
Old Rochester,07400000,     240,     440,     129,      52,      36,      16,       7
Oxford,02260000,      91,     145,      49,      32,       8,       2,       0
Palmer,02270000,      52,      86,      27,      20,       2,       2,       1
Pathfinder Regional Vocational Technical,08600000,      33,      44,      28,       2,       0,       3,       0
Paulo Freire Social Justice Charter School (District),35010000,      12,      12,      12,       0,       0,       0,       0
Peabody,02290000,     266,     424,     154,      75,      29,       7,       1
Pembroke,02310000,     197,     339,      94,      73,      22,       7,       1
Pentucket,07450000,     165,     334,      60,      61,      27,      14,       3
Phoenix Charter Academy (District),04930000,       1,,,,,,
Pioneer Charter School of Science (District),04940000,      74,     139,      30,      26,      15,       3,       0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      82,     157,      33,      26,      20,       3,       0
Pioneer Valley,07500000,      47,      70,      28,      16,       2,       1,       0
Pioneer Valley Performing Arts Charter Public (District),04790000,       4,,,,,,
Pittsfield,02360000,     359,     592,     215,      81,      40,      21,       2
Plymouth,02390000,     529,"   1,099",     215,     118,     153,      29,      14
Prospect Hill Academy Charter (District),04870000,     121,     209,      73,      26,      12,       6,       4
Quabbin,07530000,     104,     157,      61,      33,      10,       0,       0
Quaboag Regional,07780000,     119,     207,      58,      38,      19,       4,       0
Quincy,02430000,     380,     855,     161,      78,      70,      39,      32
Ralph C Mahar,07550000,      31,      53,      17,       8,       4,       2,       0
Randolph,02440000,     129,     208,      61,      58,       9,       1,       0
Reading,02460000,     244,     504,     101,      72,      38,      23,      10
Revere,02480000,     297,     480,     154,     110,      26,       7,       0
Rising Tide Charter Public (District),04830000,      14,      26,       6,       4,       4,       0,       0
Rockland,02510000,     131,     263,      56,      36,      24,      12,       3
Rockport,02520000,      61,     122,      21,      22,      16,       1,       1
Roxbury Preparatory Charter (District),04840000,     305,     720,     121,       4,     146,      18,      16
Sabis International Charter (District),04410000,      75,     168,      16,      37,      12,       8,       2
Salem,02580000,     180,     335,      93,      45,      24,      13,       5
Salem Academy Charter (District),04850000,      78,     184,      18,      28,      20,      10,       2
Sandwich,02610000,     197,     305,     103,      81,      12,       1,       0
Saugus,02620000,     159,     304,      71,      54,      18,      10,       6
Scituate,02640000,     265,     545,      92,      90,      62,      19,       2
Seekonk,02650000,     191,     330,      91,      71,      19,      10,       0
Sharon,02660000,     298,     727,     103,      75,      56,      31,      33
Shrewsbury,02710000,     415,     880,     148,     127,      96,      32,      12
Silver Lake,07600000,     258,     562,      91,      87,      41,      24,      15
Sizer School: A North Central Charter Essential (District),04740000,      20,      27,      14,       5,       1,       0,       0
Somerset Berkley Regional School District,07630000,     242,     403,     134,      69,      27,      10,       2
Somerville,02740000,     314,     609,     156,      71,      49,      27,      11
South Hadley,02780000,     112,     235,      50,      24,      19,      16,       3
South Middlesex Regional Vocational Technical,08290000,      64,      93,      36,      27,       1,       0,       0
South Shore Charter Public (District),04880000,      60,      92,      29,      30,       1,       0,       0
Southbridge,02770000,      58,     101,      27,      19,      12,       0,       0
Southeastern Regional Vocational Technical,08720000,     163,     237,     102,      51,       7,       3,       0
Southern Berkshire,07650000,      30,      47,      14,      15,       1,       0,       0
Southern Worcester County Regional Vocational Technical,08760000,     112,     168,      66,      37,       8,       1,       0
Southwick-Tolland-Granville Regional School District,07660000,      71,     101,      49,      15,       6,       1,       0
Spencer-E Brookfield,07670000,      26,      38,      18,       6,       0,       2,       0
Springfield,02810000,     702,"   1,091",     441,     161,      75,      22,       3
Stoneham,02840000,     117,     243,      36,      52,      17,       9,       3
Stoughton,02850000,     142,     278,      57,      46,      27,      12,       0
Sturgis Charter Public (District),04890000,       1,,,,,,
Sutton,02900000,     161,     318,      62,      59,      27,       8,       5
Swampscott,02910000,     190,     459,      64,      47,      40,      17,      22
Swansea,02920000,     114,     208,      55,      38,      10,       9,       2
TEC Connections Academy Commonwealth Virtual School District,39020000,      39,      73,      16,      15,       5,       3,       0
Tantasqua,07700000,     238,     400,     117,      86,      30,       4,       1
Taunton,02930000,     369,     606,     201,     112,      44,      11,       1
Tewksbury,02950000,     228,     377,     130,      67,      19,       7,       5
Tri-County Regional Vocational Technical,08780000,      85,     132,      47,      29,       9,       0,       0
