2018-19  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Dartmouth,00720000,249,204,81.9,0,28.9,17.2,53.9,16.2,15.7,31.4
Dedham,00730000,184,138,75,0,40.6,16.7,42.8,16.7,11.6,17.4
Dennis-Yarmouth,06450000,192,132,68.8,0,25.8,35.6,38.6,35.6,15.9,13.6
Dighton-Rehoboth,06500000,197,147,74.6,0,34.7,18.4,46.9,17.7,19,18.4
Douglas,00770000,101,82,81.2,0,29.3,24.4,46.3,23.2,26.8,12.2
Dover-Sherborn,06550000,149,135,90.6,0,69.6,1.5,28.9,1.5,1.5,9.6
Dracut,00790000,210,181,86.2,0,32,30.9,37,29.3,3.3,24.3
Dudley-Charlton Reg,06580000,269,197,73.2,0,37.6,19.8,42.6,17.3,17.3,14.7
Duxbury,00820000,255,225,88.2,0,54.2,2.7,43.1,2.2,7.6,16.9
East Bridgewater,00830000,134,104,77.6,0,47.1,13.5,39.4,13.5,20.2,11.5
East Longmeadow,00870000,219,181,82.6,0,37,37,26,27.6,10.5,11
Easthampton,00860000,118,80,67.8,0,35,46.3,18.8,46.3,5,11.3
Easton,00880000,298,253,84.9,0,41.1,7.5,50.6,7.5,13.8,21.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,84,71,84.5,0,21.1,33.8,45.1,33.8,8.5,35.2
Essex North Shore Agricultural and Technical School District,08170000,322,212,65.8,0,35.4,14.6,50,14.2,20.3,12.7
Everett,00930000,463,269,58.1,0,23.8,38.7,37.5,38.3,12.3,23
Excel Academy Charter (District),04100000,92,79,85.9,0,40.5,12.7,46.8,12.7,16.5,27.8
Fairhaven,00940000,129,104,80.6,0,26,21.2,52.9,21.2,13.5,28.8
Fall River,00950000,473,231,48.8,0,12.6,48.1,38.5,45.5,13.4,22.5
Falmouth,00960000,190,157,82.6,0,36.9,20.4,42.7,20.4,17.8,11.5
Fitchburg,00970000,382,166,43.5,0,17.5,45.2,37.3,42.8,26.5,9.6
Four Rivers Charter Public (District),04130000,29,23,79.3,0,39.1,34.8,26.1,34.8,4.3,13
Foxborough,00990000,205,167,81.5,0,44.9,4.8,49.7,4.8,17.4,18
Foxborough Regional Charter (District),04460000,63,55,87.3,0,41.8,12.7,45.5,10.9,12.7,27.3
Framingham,01000000,546,383,70.1,0,28.2,23.5,48.3,22.2,17.5,18.3
Francis W. Parker Charter Essential (District),04780000,58,54,93.1,0,50,13,37,11.1,7.4,24.1
Franklin,01010000,421,372,88.4,0,42.5,5.1,52.4,3.5,14.8,18.3
Franklin County Regional Vocational Technical,08180000,118,37,31.4,0,16.2,67.6,16.2,67.6,5.4,2.7
Freetown-Lakeville,06650000,186,152,81.7,0,28.3,27.6,43.4,27,16.4,17.1
Frontier,06700000,94,64,68.1,0,40.6,29.7,29.7,29.7,7.8,10.9
Gardner,01030000,112,82,73.2,0,9.8,51.2,39,51.2,22,9.8
Gateway,06720000,41,28,68.3,0,53.6,14.3,32.1,14.3,25,3.6
Georgetown,01050000,101,83,82.2,0,30.1,20.5,49.4,20.5,9.6,20.5
