2018-19 Attendance (District)  - All Students,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Tewksbury,02950000,  96.3,   6.5,  21.8,   6.0,  13.6
Tisbury,02960000,  94.1,  10.1,  41.7,  18.8,   0.0
Topsfield,02980000,  96.4,   6.5,  21.3,   3.3,  21.1
Tri-County Regional Vocational Technical,08780000,  94.3,  10.2,  39.1,  14.1,   0.0
Triton,07730000,  94.7,   9.1,  34.0,  13.0,  23.9
Truro,03000000,  92.0,  14.2,  65.5,  26.5,  65.5
Tyngsborough,03010000,  94.8,   9.1,  35.1,  10.6,   0.0
UP Academy Charter School of Boston (District),04800000,  92.7,  12.8,  49.8,  24.4,  40.4
UP Academy Charter School of Dorchester (District),35050000,  94.3,  10.3,  43.9,  15.0,  35.6
Up-Island Regional,07740000,  94.1,  10.2,  45.9,  12.5,  22.1
Upper Cape Cod Regional Vocational Technical,08790000,  94.5,   9.7,  34.1,  11.9,  15.2
Uxbridge,03040000,  94.4,   9.4,  36.0,  13.0,  13.5
Veritas Preparatory Charter School (District),04980000,  94.5,   9.7,  39.8,  16.2,  30.4
Wachusett,07750000,  95.8,   7.4,  25.7,   6.1,   0.0
Wakefield,03050000,  95.6,   7.8,  27.9,   8.0,   0.0
Wales,03060000,  95.7,   7.4,  26.9,   9.6,  26.9
Walpole,03070000,  95.5,   8.0,  27.0,   7.1,  14.4
Waltham,03080000,  94.7,   9.0,  30.8,  14.0,  25.3
Ware,03090000,  93.9,  10.3,  39.5,  17.0,  16.8
Wareham,03100000,  94.1,  10.0,  39.6,  16.3,   0.0
Watertown,03140000,  94.8,   9.2,  32.7,  11.6,  12.6
Wayland,03150000,  97.4,   4.6,  14.3,   2.5,   0.2
Webster,03160000,  92.6,  12.3,  44.9,  25.4,   0.1
Wellesley,03170000,  96.2,   6.7,  21.4,   5.6,   0.2
Wellfleet,03180000,  92.6,  12.5,  51.8,  22.7,  14.5
West Boylston,03220000,  95.7,   7.6,  28.1,   7.9,  26.7
West Bridgewater,03230000,  95.5,   7.8,  27.7,   6.8,  16.0
West Springfield,03320000,  94.8,   8.9,  33.5,  13.1,   1.1
Westborough,03210000,  95.9,   7.0,  23.4,   7.7,   0.0
Westfield,03250000,  93.8,  10.7,  39.7,  16.7,  12.5
Westford,03260000,  96.4,   6.4,  20.4,   4.5,   0.2
Westhampton,03270000,  95.4,   8.0,  33.9,   7.1,   0.0
Weston,03300000,  96.4,   6.3,  20.0,   4.8,   0.0
Westport,03310000,  94.8,   9.1,  34.7,  12.1,  19.0
Westwood,03350000,  96.3,   6.6,  21.5,   4.3,   7.4
Weymouth,03360000,  94.1,  10.1,  34.8,  14.7,  26.0
Whately,03370000,  95.4,   8.0,  31.2,   5.7,  22.7
Whitman-Hanson,07800000,  94.6,   9.5,  36.9,  12.0,   1.7
Whittier Regional Vocational Technical,08850000,  96.0,   7.0,  12.6,   4.8,   9.1
Williamsburg,03400000,  95.0,   8.8,  35.3,  11.1,   0.0
Wilmington,03420000,  95.8,   7.4,  25.3,   6.4,   9.3
Winchendon,03430000,  93.3,  11.5,  44.0,  18.4,  31.6
Winchester,03440000,  95.9,   7.3,  25.0,   5.5,  13.1
Winthrop,03460000,  94.6,   9.4,  36.8,  13.1,  12.7
Woburn,03470000,  95.2,   8.3,  29.5,  10.3,  24.4
Worcester,03480000,  94.4,   9.5,  35.5,  15.3,  32.7
Worthington,03490000,  95.5,   7.6,  33.8,   7.5,   0.0
Wrentham,03500000,  95.3,   7.9,  29.4,   6.9,   0.1
State Totals,00000000,  94.6,   9.6,  34.5,  12.9,  16.7
