2018-19 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Easton,00880000,     584,      36,     109,     168,     172,      99,  24.8,  75.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     125,      81,      30,       6,       6,       2,  88.8,  11.2
Essex North Shore Agricultural and Technical School District,08170000,     112,       8,      22,      32,      25,      25,  26.8,  73.2
Everett,00930000,     513,     154,     165,     111,      60,      23,  62.2,  37.8
Excel Academy Charter (District),04100000,     512,     113,     123,     138,      91,      47,  46.1,  53.9
Fairhaven,00940000,     196,       7,      49,      69,      51,      20,  28.6,  71.4
Fall River,00950000,     528,     128,     150,     157,      70,      23,  52.7,  47.3
Falmouth,00960000,     257,      27,      39,      82,      74,      35,  25.7,  74.3
Fitchburg,00970000,     519,     256,     147,      78,      31,       7,  77.6,  22.4
Foxborough,00990000,     462,      25,      78,     133,     138,      88,  22.3,  77.7
Foxborough Regional Charter (District),04460000,     176,      28,      47,      59,      29,      13,  42.6,  57.4
Framingham,01000000,     737,      15,      72,     162,     216,     272,  11.8,  88.2
Francis W. Parker Charter Essential (District),04780000,      13,       0,       4,       2,       3,       4,  30.8,  69.2
Franklin,01010000,     970,      79,     152,     277,     264,     198,  23.8,  76.2
Franklin County Regional Vocational Technical,08180000,      40,      19,      13,       6,       2,       0,  80.0,  20.0
Freetown-Lakeville,06650000,     336,      27,      69,     106,      89,      45,  28.6,  71.4
Frontier,06700000,     181,       7,      37,      65,      50,      22,  24.3,  75.7
Gardner,01030000,     191,      47,      56,      52,      28,       8,  53.9,  46.1
Gateway,06720000,      71,       9,      28,      19,      12,       3,  52.1,  47.9
Georgetown,01050000,      87,       0,       4,      26,      29,      28,   4.6,  95.4
Gill-Montague,06740000,       4,,,,,,,
Gloucester,01070000,     167,      24,      41,      43,      40,      19,  38.9,  61.1
Grafton,01100000,     302,      14,      55,      74,      94,      65,  22.8,  77.2
Granby,01110000,      77,      22,      29,      20,       4,       2,  66.2,  33.8
Greater Fall River Regional Vocational Technical,08210000,      70,      17,      25,      18,       7,       3,  60.0,  40.0
Greater Lawrence Regional Vocational Technical,08230000,      14,       3,       8,       3,       0,       0,  78.6,  21.4
Greater Lowell Regional Vocational Technical,08280000,     166,      39,      67,      46,      13,       1,  63.9,  36.1
Greater New Bedford Regional Vocational Technical,08250000,     111,      29,      45,      30,       7,       0,  66.7,  33.3
Greenfield,01140000,     122,      23,      48,      27,      21,       3,  58.2,  41.8
Greenfield Commonwealth Virtual District,39010000,       7,,,,,,,
Groton-Dunstable,06730000,     362,      13,      52,     104,     108,      85,  18.0,  82.0
Hadley,01170000,      66,       4,      21,      19,       9,      13,  37.9,  62.1
Hamilton-Wenham,06750000,     370,      42,      65,     105,      82,      76,  28.9,  71.1
Hampden Charter School of Science East (District),04990000,     136,      30,      42,      33,      25,       6,  52.9,  47.1
Hampden-Wilbraham,06800000,     292,       8,      41,     104,      80,      59,  16.8,  83.2
Hampshire,06830000,     166,      13,      36,      48,      36,      33,  29.5,  70.5
Hanover,01220000,     508,      50,     141,     153,     117,      47,  37.6,  62.4
Harvard,01250000,     288,       2,      17,      70,      88,     111,   6.6,  93.4
Hatfield,01270000,      34,       4,       8,      11,       9,       2,  35.3,  64.7
Haverhill,01280000,     481,      45,     150,     141,      99,      46,  40.5,  59.5
Hingham,01310000,     467,       6,      21,      74,     168,     198,   5.8,  94.2
Holbrook,01330000,      49,       6,      18,      15,       7,       3,  49.0,  51.0
Holliston,01360000,     368,      30,      68,      92,     112,      66,  26.6,  73.4
Holyoke,01370000,     252,      75,     108,      48,      14,       7,  72.6,  27.4
Hopedale,01380000,     119,       7,      17,      39,      27,      29,  20.2,  79.8
Hopkinton,01390000,"   1,068",      35,      89,     260,     331,     353,  11.6,  88.4
Hudson,01410000,     338,      17,      78,     121,      72,      50,  28.1,  71.9
Hull,01420000,     111,       2,      27,      35,      34,      13,  26.1,  73.9
Innovation Academy Charter (District),04350000,       6,,,,,,,
Ipswich,01440000,     235,      11,      38,      68,      68,      50,  20.9,  79.1
KIPP Academy Lynn Charter (District),04290000,     330,     103,      98,      73,      37,      19,  60.9,  39.1
King Philip,06900000,     790,      43,     161,     235,     199,     152,  25.8,  74.2
Lawrence,01490000,     330,      67,     104,      82,      44,      33,  51.8,  48.2
Lee,01500000,      44,       5,      12,      15,       9,       3,  38.6,  61.4
Leicester,01510000,     114,       6,      50,      39,      14,       5,  49.1,  50.9
Lenox,01520000,      82,      14,      18,      22,      17,      11,  39.0,  61.0
Leominster,01530000,     412,      43,     103,     118,     105,      43,  35.4,  64.6
Lexington,01550000,"   1,825",      23,      94,     244,     571,     893,   6.4,  93.6
Lincoln-Sudbury,06950000,     364,       4,       4,      57,     110,     189,   2.2,  97.8
Littleton,01580000,     206,       7,      14,      70,      58,      57,  10.2,  89.8
Longmeadow,01590000,     522,       6,      59,     121,     185,     151,  12.5,  87.5
Lowell,01600000,     624,     141,     160,     160,      97,      66,  48.2,  51.8
Ludlow,01610000,     283,      16,      87,     108,      54,      18,  36.4,  63.6
Lunenburg,01620000,     189,       3,      37,      69,      47,      33,  21.2,  78.8
Lynn,01630000,     774,     221,     239,     171,     109,      34,  59.4,  40.6
Lynnfield,01640000,     448,      36,      76,     143,     118,      75,  25.0,  75.0
MATCH Charter Public School (District),04690000,     136,      53,      45,      24,      11,       3,  72.1,  27.9
Ma Academy for Math and Science,04680000,     130,       2,       3,      18,      34,      73,   3.8,  96.2
Malden,01650000,     750,     217,     203,     169,     103,      58,  56.0,  44.0
Manchester Essex Regional,06980000,     351,      39,      59,     100,      87,      66,  27.9,  72.1
Mansfield,01670000,     573,      15,      74,     179,     174,     131,  15.5,  84.5
Marblehead,01680000,     645,      27,      96,     215,     182,     125,  19.1,  80.9
Marlborough,01700000,     516,      97,     183,     120,      71,      45,  54.3,  45.7
Marshfield,01710000,     423,      18,      72,     132,     140,      61,  21.3,  78.7
Martha's Vineyard,07000000,     313,      30,      83,      96,      62,      42,  36.1,  63.9
Masconomet,07050000,     329,      15,      39,      87,     111,      77,  16.4,  83.6
Mashpee,01720000,     188,      15,      54,      48,      44,      27,  36.7,  63.3
Maynard,01740000,     173,      18,      56,      57,      28,      14,  42.8,  57.2
Medfield,01750000,     466,      25,      60,     128,     142,     111,  18.2,  81.8
Medford,01760000,     341,      14,      52,      99,     103,      73,  19.4,  80.6
Medway,01770000,     590,      62,     119,     157,     165,      87,  30.7,  69.3
Melrose,01780000,     795,      70,     190,     235,     190,     110,  32.7,  67.3
Mendon-Upton,07100000,     364,      29,      70,     115,      90,      60,  27.2,  72.8
Methuen,01810000,     461,      38,     100,     154,     110,      59,  29.9,  70.1
Middleborough,01820000,     255,      32,      68,      72,      59,      24,  39.2,  60.8
Milford,01850000,     504,      83,     155,     155,      76,      35,  47.2,  52.8
Millbury,01860000,     160,      27,      60,      33,      18,      22,  54.4,  45.6
Millis,01870000,     195,      12,      40,      53,      58,      32,  26.7,  73.3
Milton,01890000,     729,      58,     132,     209,     185,     145,  26.1,  73.9
Minuteman Regional Vocational Technical,08300000,      25,       4,       6,      10,       2,       3,  40.0,  60.0
Mohawk Trail,07170000,      61,       2,      13,      20,      21,       5,  24.6,  75.4
Monomoy Regional School District,07120000,     219,       7,      50,      84,      52,      26,  26.0,  74.0
