2018-19 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
West Springfield,03320000,"   1,199",      20,   1.7,   1.9,   1.3,   1.4,   2.1
Westborough,03210000,"   1,152",       2,   0.2,   0.0,   0.0,   0.4,   0.4
Westfield,03250000,"   1,731",      23,   1.3,   0.2,   0.5,   2.7,   1.9
Westford,03260000,"   1,721",       4,   0.2,   0.0,   0.0,   0.2,   0.7
Weston,03300000,     707,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Westport,03310000,     328,       3,   0.9,   2.2,   0.0,   0.0,   1.0
Westwood,03350000,"   1,009",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Weymouth,03360000,"   1,861",      37,   2.0,   1.8,   1.6,   2.4,   2.2
Whitman-Hanson,07800000,"   1,169",       7,   0.6,   1.0,   0.7,   0.4,   0.3
Whittier Regional Vocational Technical,08850000,"   1,246",       8,   0.6,   0.0,   0.7,   0.9,   0.9
Wilmington,03420000,     829,       4,   0.5,   0.0,   1.0,   0.0,   1.0
Winchendon,03430000,     339,       9,   2.7,   4.2,   1.4,   5.1,   0.0
Winchester,03440000,"   1,359",       2,   0.1,   0.3,   0.0,   0.0,   0.3
Winthrop,03460000,     595,      11,   1.8,   2.7,   1.3,   2.2,   1.3
Woburn,03470000,"   1,301",      22,   1.7,   1.2,   2.0,   2.0,   1.7
Worcester,03480000,"   7,158",     184,   2.6,   2.4,   3.1,   2.3,   2.5
State Totals,00000000," 291,096","   5,186",   1.8,   1.6,   1.8,   1.8,   1.9
